year,others,Aspergillus,Candida,Haemophilus,Mycobacterium,Mycobacteroides,Pseudomonas,Staphylococcus,Stenotrophomonas,unidentified,Yeast
2008,0.0974593919200333,0.112869637650979,0.068304872969596,0.0229071220324865,0.0458142440649729,0.00041649312786339,0.774260724698043,0.370678883798417,0.036234902124115,0.272802998750521,0.0133277800916285
2009,0.0948590381426202,0.108789386401327,0.0334991708126036,0.0228855721393035,0.0517412935323383,0.00232172470978441,0.766169154228856,0.356550580431177,0.0318407960199005,0.311774461028192,0.0222222222222222
2010,0.115800865800866,0.127705627705628,0.0492424242424242,0.0278679653679654,0.0592532467532468,0.00135281385281385,0.769751082251082,0.377435064935065,0.0381493506493506,0.281655844155844,0.0243506493506494
2011,0.126561395239218,0.118783879330662,0.0494932830544426,0.0299316521329248,0.0655196794720716,0.000942729201037002,0.757718595333491,0.37732736271506,0.0459580485505539,0.296488333726137,0.0287532406316286
2012,0.176326929338978,0.141322044936503,0.0454249430153045,0.0952458482578964,0.0737544773689352,0.00113969391077825,0.647183327906219,0.373982416151091,0.0576359492022143,0.327254965809183,0.0211657440573103
2013,0.205442981807425,0.156633634077799,0.0732140215944387,0.116254991865109,0.0789823990533945,0.000887442685993196,0.588670315042154,0.365626386629197,0.0649312231918355,0.365330572400532,0.0468865552433072
2014,0.236689106487148,0.190789473684211,0.114290085679315,0.117044063647491,0.02203182374541,0.0379436964504284,0.634026927784578,0.385403916768666,0.0769583843329253,0.437882496940024,0.0627294981640147
2015,0.245484020379805,0.187741238227574,0.13555658483866,0.110390612938089,0.0379805465493284,0.0321136328547167,0.618959394781535,0.387833873706963,0.07441716844218,0.457773660645361,0.0858422109001081
2016,0.25497287522604,0.211080059181325,0.218970902515206,0.0960052605622226,0.0410981423639651,0.063619924379418,0.60364951504192,0.355252342594115,0.0812099293111951,0.466381719546276,0.10126582278481
2017,0.279081214109926,0.228712059064807,0.216078753076292,0.110418375717801,0.036259228876128,0.0666119770303528,0.586546349466776,0.368170631665299,0.0912223133716161,0.437571780147662,0.104183757178015
2018,0.276284450493365,0.225757060224566,0.21197686287853,0.110751956447771,0.0437223545423613,0.0733242599523647,0.582681184076216,0.382953385505274,0.0910173528411024,0.467846206192582,0.109050697516162
2019,0.292650918635171,0.187425435456932,0.186232402767836,0.159269863994273,0.0388928656645192,0.0515390121689334,0.467430207587688,0.410522548317824,0.0793366738248628,0.544500119303269,0.0881651157241708
